Course #,Duration,Type
101.001,50,AS
101.002,45,AS
101.003,55,AS
101.004,75,AS
101.005,50,AS
101.006,45,AS
101.007,55,AS
101.008,75,AS
101.009,60,AS
101.010,50,AS
101.011,55,AS
101.012,45,AS
101.013,75,AS
101.014,50,AS
101.015,45,AS
101.016,55,AS
101.017,75,AS
101.018,50,AS
101.019,45,AS
101.020,55,AS
101.021,75,AS
101.022,60,AS
101.023,50,AS
101.024,55,AS
101.025,45,AS
101.026,75,AS
101.027,50,AS
101.028,45,AS
101.029,55,AS
101.030,75,AS
101.031,50,AS
101.032,45,AS
101.033,55,AS
101.034,75,AS
101.035,60,AS
101.036,50,AS
101.037,55,AS
101.038,45,AS
101.039,75,AS
101.040,50,AS
101.041,45,AS
101.042,55,AS
101.043,75,AS
101.044,50,AS
101.045,45,AS
101.046,55,AS
101.047,75,AS
101.048,60,AS
101.049,50,AS
500.001,55,EN
500.002,45,EN
500.003,75,EN
500.004,50,EN
500.005,45,EN
500.006,55,EN
500.007,75,EN
500.008,60,EN
500.009,50,EN
500.010,55,EN
500.011,45,EN
500.012,75,EN
500.013,50,EN
500.014,45,EN
500.015,55,EN
500.016,75,EN
500.017,50,EN
500.018,45,EN
500.019,55,EN
500.020,75,EN
500.021,60,EN
500.022,50,EN
500.023,55,EN
500.024,45,EN
500.025,75,EN
500.026,50,EN
500.027,45,EN
500.028,55,EN
500.029,75,EN
500.030,60,EN
500.031,50,EN
500.032,55,EN
500.033,45,EN
500.034,75,EN
500.035,50,EN
500.036,45,EN
500.037,55,EN
500.038,75,EN
500.039,50,EN
500.040,45,EN
500.041,55,EN
500.042,75,EN
500.043,60,EN
500.044,50,EN
500.045,55,EN
500.046,45,EN
500.047,75,EN
500.048,50,EN
500.049,45,EN
500.050,55,EN
500.051,75,EN
500.052,60,EN
500.053,50,EN
500.054,55,EN
500.055,45,EN
500.056,75,EN
500.057,50,EN
500.058,45,EN
500.059,55,EN
500.060,75,EN
500.061,50,EN
500.062,45,EN
500.063,55,EN
500.064,75,EN
500.065,60,EN
500.066,50,EN
500.067,55,EN
500.068,45,EN
500.069,75,EN
500.070,50,EN
500.071,45,EN
500.072,55,EN
500.073,75,EN
500.074,60,EN
500.075,50,EN
500.076,55,EN
500.077,45,EN
500.078,75,EN
500.079,50,EN
500.080,45,EN
500.081,55,EN
500.082,75,EN
500.083,50,EN
500.084,45,EN
500.085,55,EN
500.086,75,EN
500.087,60,EN
500.088,50,EN
500.089,55,EN
500.090,45,EN
500.091,75,EN
500.092,50,EN
500.093,45,EN
500.094,55,EN
500.095,75,EN
500.096,60,EN
500.097,50,EN
500.098,55,EN
500.099,45,EN
500.100,75,EN
